ts_code,symbol,name,enname,aliases
3284.TWO,3284.TWO,太普高,,
3285.TWO,3285.TWO,微端,,
3287.TWO,3287.TWO,廣寰科,,
3288.TWO,3288.TWO,點晶,,
3289.TWO,3289.TWO,宜特,,
3290.TWO,3290.TWO,東浦,,
3293.TWO,3293.TWO,鈊象,,
3294.TWO,3294.TWO,英濟,,
3297.TWO,3297.TWO,杭特,,
3303.TWO,3303.TWO,岱稜,,
3306.TWO,3306.TWO,鼎天,,
3310.TWO,3310.TWO,佳穎,,
3313.TWO,3313.TWO,斐成,,
3317.TWO,3317.TWO,尼克森,,
3322.TWO,3322.TWO,建舜電,,
3323.TWO,3323.TWO,加百裕,,
3324.TWO,3324.TWO,雙鴻,,
3325.TWO,3325.TWO,旭品,,
3332.TWO,3332.TWO,幸康,,
3339.TWO,3339.TWO,泰谷,,
3349.TWO,3349.TWO,寶德,,
3354.TWO,3354.TWO,律勝,,
3357.TWO,3357.TWO,臺慶科,,
3360.TWO,3360.TWO,尚立,,
3362.TWO,3362.TWO,先進光,,
3363.TWO,3363.TWO,上詮,,
3372.TWO,3372.TWO,典範,,
3373.TWO,3373.TWO,熱映,,
3374.TWO,3374.TWO,精材,,
3379.TWO,3379.TWO,彬台,,
3388.TWO,3388.TWO,崇越電,,
3390.TWO,3390.TWO,旭軟,,
3402.TWO,3402.TWO,漢科,,
3430.TWO,3430.TWO,奇鈦科,,
3434.TWO,3434.TWO,哲固,,
3438.TWO,3438.TWO,類比科,,
3441.TWO,3441.TWO,聯一光,,
3444.TWO,3444.TWO,利機,,
3455.TWO,3455.TWO,由田,,
3465.TWO,3465.TWO,進泰電子,,
3466.TWO,3466.TWO,德晉,,
3467.TWO,3467.TWO,台灣精材,,
3479.TWO,3479.TWO,安勤,,
3483.TWO,3483.TWO,力致,,
3484.TWO,3484.TWO,崧騰,,
3485.TWO,3485.TWO,敘豐,,
3489.TWO,3489.TWO,森寶,,
3490.TWO,3490.TWO,單井,,
3491.TWO,3491.TWO,昇達科,,
3492.TWO,3492.TWO,長盛,,
3498.TWO,3498.TWO,陽程,,
3499.TWO,3499.TWO,環天科,,
3508.TWO,3508.TWO,位速,,
3511.TWO,3511.TWO,矽瑪,,
3512.TWO,3512.TWO,皇龍,,
3516.TWO,3516.TWO,亞帝歐,,
3520.TWO,3520.TWO,華盈,,
3521.TWO,3521.TWO,台鋼建設,,
3522.TWO,3522.TWO,御嵿,,
3523.TWO,3523.TWO,迎輝,,
3526.TWO,3526.TWO,凡甲,,
3527.TWO,3527.TWO,聚積,,
3529.TWO,3529.TWO,力旺,,
3531.TWO,3531.TWO,先益,,
3537.TWO,3537.TWO,堡達,,
3540.TWO,3540.TWO,曜越,,
3541.TWO,3541.TWO,西柏,,
3546.TWO,3546.TWO,宇峻,,
3548.TWO,3548.TWO,兆利,,
3551.TWO,3551.TWO,世禾,,
3552.TWO,3552.TWO,同致,,
3555.TWO,3555.TWO,博士旺,,
3556.TWO,3556.TWO,禾瑞亞,,
3558.TWO,3558.TWO,神準,,
3564.TWO,3564.TWO,其陽,,
3567.TWO,3567.TWO,逸昌,,
3570.TWO,3570.TWO,大塚,,
3577.TWO,3577.TWO,泓格,,
3580.TWO,3580.TWO,友威科,,
3581.TWO,3581.TWO,博磊,,
3587.TWO,3587.TWO,閎康,,
3594.TWO,3594.TWO,磐儀,,
3597.TWO,3597.TWO,映興,,
3609.TWO,3609.TWO,三一東林,,
3611.TWO,3611.TWO,鼎翰,,
3615.TWO,3615.TWO,安可,,
3623.TWO,3623.TWO,富晶通,,
3624.TWO,3624.TWO,光頡,,
3625.TWO,3625.TWO,西勝,,
3628.TWO,3628.TWO,盈正,,
3629.TWO,3629.TWO,地心引力,,
3630.TWO,3630.TWO,新鉅科,,
3631.TWO,3631.TWO,晟楠,,
3632.TWO,3632.TWO,研勤,,
3646.TWO,3646.TWO,艾恩特,,
3663.TWO,3663.TWO,鑫科,,
3664.TWO,3664.TWO,安瑞-KY,,
3666.TWO,3666.TWO,光耀,,
3672.TWO,3672.TWO,康聯訊,,
3675.TWO,3675.TWO,德微,,
3680.TWO,3680.TWO,家登,,
3684.TWO,3684.TWO,榮昌,,
3685.TWO,3685.TWO,元創精密,,
3687.TWO,3687.TWO,歐買尬,,
3689.TWO,3689.TWO,湧德,,
3691.TWO,3691.TWO,碩禾,,
3693.TWO,3693.TWO,營邦,,
3707.TWO,3707.TWO,漢磊,,
3709.TWO,3709.TWO,鑫聯大投控,,
3710.TWO,3710.TWO,連展投控,,
3713.TWO,3713.TWO,新晶投控,,
4102.TWO,4102.TWO,永日,,
4105.TWO,4105.TWO,東洋,,
4107.TWO,4107.TWO,邦特,,
4109.TWO,4109.TWO,加捷生醫,,
4111.TWO,4111.TWO,濟生,,
4113.TWO,4113.TWO,聯上,,
4114.TWO,4114.TWO,健喬,,
4116.TWO,4116.TWO,明基醫,,
4120.TWO,4120.TWO,友華,,
4121.TWO,4121.TWO,優盛,,
4123.TWO,4123.TWO,晟德,,
4126.TWO,4126.TWO,太醫,,
4127.TWO,4127.TWO,天良,,
4128.TWO,4128.TWO,中天,,
4129.TWO,4129.TWO,聯合,,
4130.TWO,4130.TWO,健亞,,
4131.TWO,4131.TWO,浩泰,,
4138.TWO,4138.TWO,曜亞,,
4139.TWO,4139.TWO,馬光-KY,,
4147.TWO,4147.TWO,中裕,,
4153.TWO,4153.TWO,鈺緯,,
4154.TWO,4154.TWO,樂威科-KY,,
4157.TWO,4157.TWO,太景*-KY,,
4160.TWO,4160.TWO,訊聯基因,,
4161.TWO,4161.TWO,聿新科,,
4162.TWO,4162.TWO,智擎,,
4163.TWO,4163.TWO,鐿鈦,,
4166.TWO,4166.TWO,友霖,,
4167.TWO,4167.TWO,松瑞藥,,
4168.TWO,4168.TWO,醣聯,,
4171.TWO,4171.TWO,瑞基,,
4173.TWO,4173.TWO,久裕,,
4174.TWO,4174.TWO,浩鼎,,
4175.TWO,4175.TWO,杏一,,
4183.TWO,4183.TWO,福永生技,,
4188.TWO,4188.TWO,安克,,
4192.TWO,4192.TWO,杏國,,
4198.TWO,4198.TWO,欣大健康,,
4205.TWO,4205.TWO,中華食,,
4207.TWO,4207.TWO,環泰,,
4303.TWO,4303.TWO,信立,,
4304.TWO,4304.TWO,勝昱,,
4305.TWO,4305.TWO,世坤,,
4401.TWO,4401.TWO,東隆興,,
4402.TWO,4402.TWO,郡都開發,,
4406.TWO,4406.TWO,新昕纖,,
4413.TWO,4413.TWO,飛寶企業,,
4416.TWO,4416.TWO,三圓,,
4417.TWO,4417.TWO,金洲,,
4419.TWO,4419.TWO,皇家美食,,
4420.TWO,4420.TWO,光明,,
4430.TWO,4430.TWO,耀億,,
4432.TWO,4432.TWO,銘旺實,,
4433.TWO,4433.TWO,興采,,
4442.TWO,4442.TWO,竣邦-KY,,
4502.TWO,4502.TWO,健信,,
4503.TWO,4503.TWO,金雨,,
4506.TWO,4506.TWO,崇友,,
4510.TWO,4510.TWO,高鋒,,
4513.TWO,4513.TWO,福裕,,
4523.TWO,4523.TWO,永彰,,
4527.TWO,4527.TWO,方土霖,,
4528.TWO,4528.TWO,江興鍛,,
4529.TWO,4529.TWO,淳紳,,
4530.TWO,4530.TWO,宏易,,
4533.TWO,4533.TWO,協易機,,
4534.TWO,4534.TWO,慶騰,,
4535.TWO,4535.TWO,至興,,
4538.TWO,4538.TWO,大詠城,,
4541.TWO,4541.TWO,晟田,,
4542.TWO,4542.TWO,科嶠,,
4543.TWO,4543.TWO,萬在,,
4549.TWO,4549.TWO,桓達,,
4550.TWO,4550.TWO,長佳,,
4554.TWO,4554.TWO,橙的,,
4556.TWO,4556.TWO,旭然,,
4558.TWO,4558.TWO,寶緯,,
4561.TWO,4561.TWO,健椿,,
4563.TWO,4563.TWO,百德,,
4568.TWO,4568.TWO,科際精密,,
4577.TWO,4577.TWO,達航科技,,
4580.TWO,4580.TWO,捷流閥業,,
4584.TWO,4584.TWO,君帆,,
4609.TWO,4609.TWO,唐鋒,,
4702.TWO,4702.TWO,中美實,,
4706.TWO,4706.TWO,大恭,,
4707.TWO,4707.TWO,磐亞,,
4711.TWO,4711.TWO,永純,,
4714.TWO,4714.TWO,永捷,,
4716.TWO,4716.TWO,大立,,
4721.TWO,4721.TWO,美琪瑪,,
4726.TWO,4726.TWO,永昕,,
4728.TWO,4728.TWO,雙美,,
4729.TWO,4729.TWO,熒茂,,
4735.TWO,4735.TWO,豪展,,
4741.TWO,4741.TWO,泓瀚,,
4743.TWO,4743.TWO,合一,,
4744.TWO,4744.TWO,皇將,,
4745.TWO,4745.TWO,合富-KY,,
4747.TWO,4747.TWO,強生,,
4749.TWO,4749.TWO,新應材,,
4754.TWO,4754.TWO,國碳科,,
4760.TWO,4760.TWO,勤凱,,
4767.TWO,4767.TWO,誠泰科技,,
4768.TWO,4768.TWO,晶呈科技,,
4772.TWO,4772.TWO,台特化,,
4804.TWO,4804.TWO,大略-KY,,
